trade_id,timestamp_open,timestamp_close,symbol,side,leverage,quantity,entry_price,exit_price,position_value_usdt,margin_used_usdt,pnl_usdt,pnl_percent,roi_percent,fee_usdt,net_pnl_usdt,highest_price,lowest_price,max_unrealized_pnl,max_unrealized_loss,mae_percent,mfe_percent,exit_type,exit_reason,holding_minutes,holding_seconds,market_condition,volatility_atr,volume_ratio,entry_reason,entry_score,ma_distance_percent,order_id,fee_rate
T000000,2026-04-30 07:03:27,2026-04-30 07:03:27,AIGENSYNUSDT,LONG,10,1817.5209014903671,0.05535,,100.59978189749182,10.059978189749183,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777503807931_1,0.0002
T000001,2026-04-30 07:03:28,2026-04-30 07:03:28,ZEREBROUSDT,LONG,10,3740.2752842609216,0.026787,,100.1907540394973,10.019075403949731,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777503808341_2,0.0002
T000002,2026-04-30 07:03:28,2026-04-30 07:03:28,SOLVUSDT,LONG,10,18885.741265344663,0.005302,,100.13220018885741,10.013220018885741,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777503808696_3,0.0002
T000003,2026-04-30 07:03:27,2026-04-30 07:03:36,AIGENSYNUSDT,LONG,10,1817.5209014903671,0.05535,0.05547,100.81788440567067,10.059978189749183,0.21810250817883517,2.1680216802167136,2.1680216802167136,0.020163576881134133,0.19793893129770104,0.05563,0.05535,0.5089058524172947,0.0,0.0,0.5089058524172947,TECHNICAL_EXIT,價格偏離 (16.4% > 10.0%),0,8,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777503816689_4,0.0002
T000004,2026-04-30 07:03:39,2026-04-30 07:03:39,SKYAIUSDT,LONG,10,373.7060428267125,0.26759,,100.0,10.0,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777503819836_5,0.0002
T000005,2026-04-30 07:03:28,2026-04-30 07:10:23,SOLVUSDT,LONG,10,18885.741265344663,0.005302,0.005183,97.88479697828139,10.013220018885741,-2.247403210576018,-22.44436061863451,-22.44436061863451,0.019576959395656277,-2.2669801699716743,0.005379,0.00525,1.4542020774315354,2.8139754485363677,2.8139754485363677,1.4542020774315354,TECHNICAL_EXIT,高點回撤 (4.2% > 4.0%),6,414,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777504223189_6,0.0002
T000006,2026-04-30 07:10:25,2026-04-30 07:10:25,AIGENSYNUSDT,LONG,10,1716.7381974248926,0.05818,,99.87982832618026,9.987982832618027,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777504225659_7,0.0002
T000007,2026-04-30 07:10:25,2026-04-30 07:10:33,AIGENSYNUSDT,LONG,10,1716.7381974248926,0.05818,0.05848,100.39484978540771,9.987982832618027,0.5150214592274587,5.156411137847966,5.156411137847966,0.020078969957081545,0.49494248927037715,0.05839,0.05818,0.3605150214592187,0.0,0.0,0.3605150214592187,TECHNICAL_EXIT,價格偏離 (19.3% > 10.0%),0,8,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777504233765_8,0.0002
T000008,2026-04-30 07:10:35,2026-04-30 07:10:35,NAORISUSDT,LONG,10,879.5848359574281,0.11373,,100.0351833934383,10.003518339343831,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777504235524_9,0.0002
T000009,2026-04-30 07:03:39,2026-04-30 07:15:19,SKYAIUSDT,LONG,10,373.7060428267125,0.26759,0.27036,101.03516573863,10.0,1.0351657386299917,10.351657386299918,10.351657386299918,0.020207033147726,1.0149587054822657,0.2718,0.26691,1.5733024403004565,0.27654247169177415,0.27654247169177415,1.5733024403004565,TRAILING_STOP,"移動止損 (最高15.7% → 當前10.4%, 回撤 5.4%)",11,699,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777504519200_10,0.0002
T000010,2026-04-30 07:15:21,2026-04-30 07:15:21,AIGENSYNUSDT,LONG,10,1743.3751743375174,0.05769,,100.57531380753137,10.057531380753137,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777504521612_11,0.0002
T000011,2026-04-30 07:15:21,2026-04-30 07:15:30,AIGENSYNUSDT,LONG,10,1743.3751743375174,0.05769,0.05758,100.38354253835425,10.057531380753137,-0.19177126917712514,-1.9067429363841049,-1.9067429363841049,0.020076708507670852,-0.211847977684796,0.05769,0.05758,0.0,0.19177126917712514,0.19177126917712514,0.0,TECHNICAL_EXIT,價格偏離 (16.3% > 10.0%),0,8,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777504530074_12,0.0002
T000012,2026-04-30 07:15:32,2026-04-30 07:15:32,SOLVUSDT,LONG,10,19305.019305019305,0.005185,,100.0965250965251,10.00965250965251,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777504532069_13,0.0002
T000013,2026-04-30 07:03:28,2026-04-30 07:23:30,ZEREBROUSDT,LONG,10,3740.2752842609216,0.026787,0.027411,102.52468581687613,10.019075403949731,2.3339317773788264,23.29488184567152,23.29488184567152,0.020504937163375227,2.313426840215451,0.027437,0.026703,2.4311789347696036,0.5685218432076576,0.5685218432076576,2.4311789347696036,TECHNICAL_EXIT,"時間 + 收益 (20分, PnL: 2.33 USDT)",20,1201,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777505010162_14,0.0002
T000014,2026-04-30 07:23:32,2026-04-30 07:23:32,AIGENSYNUSDT,LONG,10,1762.4250969333805,0.05689,,100.26436376454002,10.026436376454003,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777505012694_15,0.0002
T000015,2026-04-30 07:23:32,2026-04-30 07:23:40,AIGENSYNUSDT,LONG,10,1762.4250969333805,0.05689,0.05677,100.05287275290802,10.026436376454003,-0.21149101163200926,-2.109333802074214,-2.109333802074214,0.020010574550581604,-0.23150158618259087,0.05689,0.05682,0.0,0.12336975678533772,0.12336975678533772,0.0,TECHNICAL_EXIT,價格偏離 (13.6% > 10.0%),0,8,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777505020922_16,0.0002
T000016,2026-04-30 07:23:43,2026-04-30 07:23:43,TACUSDT,LONG,10,6235.1914203766055,0.016034,,99.9750592343185,9.997505923431849,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777505023200_17,0.0002
T000017,2026-04-30 07:10:35,2026-04-30 07:30:37,NAORISUSDT,LONG,10,879.5848359574281,0.11373,0.11443,100.65089277860851,10.003518339343831,0.6157093851702051,6.154928339048678,6.154928339048678,0.020130178555721703,0.5955792066144834,0.11455,0.11323,0.7212595654850922,1.1962353769021024,1.1962353769021024,0.7212595654850922,TECHNICAL_EXIT,"時間 + 收益 (20分, PnL: 0.62 USDT)",20,1201,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777505437387_18,0.0002
